iter	Passed	Remaining
333	4112	8200
334	4120	8179
335	4125	8153
336	4133	8131
337	4138	8106
338	4146	8084
339	4149	8055
340	4154	8028
341	4168	8019
342	4178	8003
343	4191	7993
344	4200	7975
345	4223	7983
346	4230	7961
347	4234	7932
348	4237	7904
349	4250	7894
350	4261	7878
351	4269	7860
352	4279	7843
353	4290	7829
354	4305	7823
355	4318	7811
356	4331	7801
357	4341	7786
358	4354	7775
359	4359	7750
360	4373	7741
361	4383	7725
362	4395	7713
363	4406	7699
364	4419	7688
365	4423	7662
366	4435	7649
367	4454	7649
368	4458	7624
369	4476	7621
370	4484	7603
371	4493	7586
372	4505	7574
373	4522	7569
374	4526	7543
375	4530	7519
376	4546	7513
377	4550	7487
378	4554	7461
379	4561	7441
380	4578	7438
381	4587	7422
382	4601	7413
383	4615	7404
384	4628	7393
385	4632	7368
386	4646	7359
387	4656	7344
388	4665	7328
389	4675	7313
390	4690	7305
391	4693	7279
392	4699	7259
393	4707	7240
394	4711	7215
395	4724	7206
396	4737	7196
397	4743	7175
398	4753	7160
399	4769	7154
400	4786	7149
401	4794	7132
402	4809	7124
403	4823	7115
404	4838	7108
405	4858	7107
406	4878	7107
